length,shares,num_authors,sentiment-score,readability-score,is-fake
2019,9,1,-0.6391,8.117712875989447,1
1697,22,1,0.8423,10.752246170122724,1
1458,648,2,-0.2746,9.659122988505747,1
3042,27,1,-0.9018,8.533536744781323,1
1362,47,1,-0.9868,10.205128559446425,1
3734,24,1,0.8893,11.506492933947772,1
3309,42,1,-0.979,9.43371050138176,1
2319,7,1,-0.9985,8.966453477218225,1
2821,25,1,-0.9923,9.557173393957171,1
2693,10,1,-0.9549,10.718812049689442,1
3213,28,1,-0.9813,9.351590050590218,1
2288,1214,7,-0.9545,9.952492404740665,1
2319,138,2,-0.5803,10.498476470588235,1
896,412,0,0.9286,9.712109238665526,1
2605,18,1,0.966,9.7752145069344,1
1362,87,1,-0.9669,7.729104958677686,1
4053,356,1,0.9951,9.740375012887547,1
1598,244,1,-0.4912,9.737771871127634,1
1649,557,1,0.7717,8.90849596844873,1
2536,38,1,-0.9549,9.254764285714286,1
2007,288,2,-0.9709,8.743149348465742,1
4074,1,1,0.9952,10.300908176739462,1
3194,1029,1,0.1901,10.077931964679912,1
1284,71,2,-0.8805,8.557646829640948,1
2282,5,2,0.9943,10.26913483642794,1
2213,34,1,-0.8002,9.773089442598746,1
1966,146,1,-0.8972,8.32841276815418,1
1053,30,1,-0.9904,9.761590091930543,1
2478,138,1,0.9491,11.318464108689161,1
1568,60,1,0.9509,9.525103636363635,1
2161,34,2,0.9572,8.7266103008398,1
2464,17,1,0.5719,9.957157049486462,1
2382,413,1,-0.994,10.078987191726332,1
2380,50,1,-0.9887,10.387833333333333,1
1299,135,1,0.6705,9.491470629370628,1
1392,136,1,0.926,9.820395691609978,1
3202,77,1,0.9445,10.47594123876765,1
4142,42,3,0.9869,10.031555544954795,1
2399,104,1,0.6319,9.527194611271081,1
2172,1438,1,0.5093,7.703127480916031,1
874,396,1,-0.9794,8.696105555555556,1
880,91,1,0.9022,9.8589375,1
4006,93,1,-0.9985,9.384378345864661,1
2496,69,1,0.9699,8.775418174840084,1
1604,162,1,0.9524,7.981866666666666,1
1956,231,1,-0.8715,8.119366311527807,1
2953,1030,1,0.9172,10.479092778649921,1
1303,144,1,0.5574,10.002384615384615,1
3773,128,1,-0.9515,11.497119862018883,1
902,70,1,-0.886,10.084623684210527,1
1809,332,1,0.9153,10.114037336093858,1
1833,166,1,-0.7899,10.812891307395724,1
1458,167,1,-0.9938,9.575485645933014,1
1673,435,1,0.5719,8.985627450980392,1
1605,36,1,-0.9712,9.632323430548691,1
2229,427,1,0.4601,10.171001360544217,1
1467,106,1,0.4947,9.0452407960199,1
1252,177,1,-0.8255,10.325972727272728,1
1887,4,1,-0.8208,9.678681057887346,1
1527,35,1,-0.9712,10.787406970849176,1
2819,419,1,0.8342,9.838474797369628,1
1771,3437,2,-0.991,10.064957838660579,1
2531,462,1,-0.9834,10.6430722514928,1
158,179,1,0.8625,,1
3573,127,1,0.9964,8.95258683026585,1
3647,14,1,0.9834,9.766733101361574,1
1838,8,1,-0.9393,10.661779093567253,1
3016,25,1,-0.9371,9.991559996767416,1
1156,21,1,0.9578,9.94690156555773,1
1083,111,1,0.3612,11.224753588516746,1
6177,18,1,-0.9917,8.035539881376039,1
1415,30,1,-0.4745,10.669029721115539,1
2622,23,6,0.9688,10.863222505358419,1
4184,41,1,-0.9925,10.454124012721973,1
1182,80,1,0.9477,11.592458823529412,1
10154,244,1,-0.9921,10.923828542515352,1
6833,55,1,0.9597,10.284596910016978,1
3587,1,1,0.8418,9.507273376623377,1
2633,17,1,-0.992,10.787126890756303,1
2445,493,1,-0.9715,11.336877910685805,1
3707,2,1,-0.9984,9.284722761639475,1
125,75,1,0.296,,1
1481,29,1,-0.8678,9.518721512838308,1
4454,131,1,0.1615,9.71279117743216,1
3528,18,1,0.8593,10.28715782094082,1
3009,65,1,0.9041,9.534059349593495,1
3213,23,1,0.9855,9.610093837535015,1
144,7,1,0.4404,,1
1331,139,1,0.9447,8.649556936936936,1
1055,40,1,0.4215,10.699055164835165,1
5663,312,1,-0.9967,10.238765525011265,1
1714,220,2,-0.5848,10.244917435897436,1
1780,139,1,-0.9545,10.376854269381923,1
606,251,1,-0.9678,9.989666666666666,1
214,5,1,-0.9552,,1
1630,569,1,0.9652,9.731774650455927,1
803,235,4,-0.8074,9.980136217303823,1
2000,12,1,0.743,9.160758233618234,1
3735,1,1,-0.9955,10.701157873820168,1
56,22,1,0.0,,1
1695,49,1,-0.9917,9.431944324324324,1
1356,69,2,0.3182,8.672073301406765,1
1138,79,1,0.9786,9.017934729201563,1
2998,57,1,0.9884,10.069643801652893,1
8,1573,1,0.0,,1
21658,47,10,0.8624,8.437194070263319,1
4882,13,1,-0.9988,9.849622607426626,0
4095,262,4,-0.9961,9.266329787234042,0
3074,11,1,0.9975,9.415619259259259,0
8328,20,3,0.9988,9.430598789947254,0
3144,273,4,-0.9903,10.772548518011856,0
3021,9,1,-0.9881,9.557300000000001,0
10078,83,8,0.9962,9.811860286064043,0
3016,147,2,-0.9938,9.52519822032652,0
1133,188,1,0.9001,11.31751722846442,0
9950,148,5,0.8279,11.422095501057083,0
9865,41,2,0.9978,10.437402773015705,0
1678,64,2,-0.9853,8.969763157894736,0
1480,20,3,0.9762,11.766154671280278,0
795,94,3,-0.6249,11.9327022875817,0
2729,30,3,-0.9421,11.32031505376344,0
1504,284,1,0.9744,11.452522586520947,0
1548,3,1,-0.6808,10.34652783882784,0
5290,13,2,-0.9819,9.332226932270917,0
3672,10,1,-0.9983,8.510445216688073,0
1397,24,2,0.9558,10.360322711864407,0
2844,14,1,0.2837,7.984116780915821,0
4442,46,4,-0.9947,11.37404479638009,0
1647,59,2,0.7096,8.94636793935991,0
1647,44,2,0.9623,9.480907692307692,0
2447,59,2,0.8416,10.260488351042898,0
19986,1228,6,-0.9995,9.037766045395758,0
3107,12,1,0.5246,9.00934064171123,0
1038,90,1,0.6486,9.262210986964618,0
2281,14,0,0.9239,9.617987341772153,0
2368,8,1,0.6996,9.39557528552926,0
2714,19,2,-0.9409,10.456624635993013,0
1073,33,2,-0.9155,10.517859477124183,0
2228,4,2,0.9633,10.915226205450733,0
397,10,0,-0.6249,,0
1104,12,1,0.0,10.486446511627907,0
2175,119,2,-0.8914,9.942966985645933,0
1580,735,1,0.9867,11.403240941328175,0
2961,37,0,0.786,10.394224223602485,0
252,112,1,0.3802,,0
872,1396,1,0.6486,8.92961355704698,0
950,315,1,0.3182,11.751612477396021,0
1904,2,1,0.8296,10.62734126984127,0
3568,49,2,0.7845,9.832761438159157,0
1560,13,2,0.0926,10.900252405063291,0
1793,100,2,-0.9176,9.033433455043358,0
6894,71,1,0.9196,10.63277423154026,0
1499,68,1,-0.9861,11.350132128514057,0
11608,37,1,0.9871,10.477810818816414,0
2068,11,1,-0.9913,10.240234218984359,0
4369,13,2,0.9526,10.501612299465242,0
3217,50,2,0.938,10.491198590225565,0
2945,306,0,-0.9349,11.080384426414245,0
1191,232,2,0.6908,10.240042307692308,0
2870,66,1,-0.989,8.27523037037037,0
1190,16,2,-0.9423,10.645784552845528,0
2174,521,2,-0.8144,10.890893987621574,0
2159,12,1,-0.4404,9.866104835618458,0
2016,17,1,0.8443,9.967337755102042,0
2461,19,2,0.9484,8.950336105476673,0
2027,1,1,-0.9895,9.886364772727273,0
1179,356,1,0.9442,10.695933830845771,0
2700,19,1,-0.9814,10.981809247543412,0
1457,221,1,-0.9898,11.350027419354838,0
3391,13,2,-0.9777,11.335206304630836,0
4420,80,2,0.9685,11.32004529180093,0
3282,9,1,-0.9528,10.764730681003584,0
1566,87,2,0.9326,10.95129191919192,0
1734,21,2,-0.9977,11.628997791798106,0
5533,64,1,0.296,10.708981563531793,0
1097,734,2,0.8363,10.86895873015873,0
1210,234,1,0.8555,10.57921207920792,0
2956,7,1,0.9754,11.918840000000001,0
1340,30,1,0.5536,10.717611111111111,0
2377,20,0,0.8265,9.987648325598897,0
3536,98,2,0.93,12.152833333333334,0
12613,90,1,0.9946,14.732982410442185,0
3111,20,0,-0.315,9.922715484229027,0
6555,18,1,0.9983,10.011113066893424,0
4808,253,1,0.9715,10.544735639961335,0
1695,52,2,0.9287,11.032926888604354,0
3839,108,10,-0.959,9.851873586612394,0
5797,55,4,-0.9974,11.286113880547212,0
2726,32,3,-0.872,12.464241129032258,0
1812,49,2,0.9881,10.40071845574388,0
1369,72,1,-0.291,11.473211111111112,0
31909,823,2,0.9996,10.311142613744973,0
1417,3,1,-0.765,10.678378007662836,0
6706,289,4,0.9518,11.077304002736913,0
1013,95,1,0.7906,12.406828944618601,0
1489,19,0,0.9746,9.413776717745922,0
13001,627,7,0.977,10.70841412735174,0
1447,36,4,-0.9801,11.174780323450134,0
2376,26,0,-0.7176,8.641652111046849,0
1342,64,2,-0.9738,11.87764528301887,0
2076,5,1,0.9932,8.522216997578692,0
13314,36,2,-0.8457,10.100894784940145,0
30459,5,4,0.9993,12.59545382368068,0
3083,1,2,-0.9742,11.916338195138195,0
1658,13,2,0.9877,10.687285741917655,0
1898,99,2,-0.9686,10.696562172284644,0
5942,34,3,0.9981,10.253399089651154,0
1781,157,2,-0.1665,9.541052156091162,0
1259,5,1,0.9866,10.08723137254902,0
1725,37,3,0.9744,10.630151741293533,0
12339,57,2,-0.9943,10.659433991498698,0
2078,7,1,-0.9825,10.183038111888113,0
2635,14,1,-0.9445,8.93678520923521,0
5687,133,3,-0.3439,9.76065194706902,0
12777,60,2,0.9997,10.930988639206337,0
4268,29,2,-0.9617,10.290997189293968,0
2734,56,4,-0.9723,10.228074287446937,0
2497,3,1,-0.9858,10.170015853411623,0
2548,16,3,-0.9648,10.41934090909091,0
4553,25,1,-0.9989,9.538914786629675,0
2316,46,2,-0.8974,10.970436434108528,0
2869,5,0,-0.9974,9.273220238095238,0
1648,68,1,0.9286,9.840330351579883,0
2292,33,3,-0.802,10.047725,0
3200,171,4,-0.9666,9.990748934945309,0
1997,29,3,-0.9237,10.49612857142857,0
6663,203,7,-0.9443,10.415575585363918,0
1636,41,2,0.9231,9.958170436880193,0
4950,46,2,-0.9958,10.06598047337278,0
3153,47,4,-0.9872,10.554158133137722,0
2012,11,1,0.9559,11.801157943925233,0
2779,56,2,0.9684,10.451466282239464,0
1067,1,2,-0.9563,10.206547944339027,0
2376,19,1,0.9922,10.122311882059556,0
1909,13,0,-0.9186,9.234271817298348,0
2185,13,1,-0.9552,9.592356711915535,0
8837,93,2,0.9958,10.276751897351897,0
397,5,0,-0.6249,,0
2309,28,2,-0.765,12.467280641145347,0
2332,37,3,-0.9949,10.069162176165804,0
1214,32,0,-0.8885,10.40044529147982,0
3031,55,2,-0.9047,10.100366316342617,0
1684,69,3,-0.9349,12.57803995157385,0
2994,12,1,-0.9943,9.68774648090431,0
3521,16,2,-0.9893,10.232741612856938,0
2026,171,2,0.8802,9.40545151175812,0
1925,5,1,0.807,9.324511523283347,0
9212,73,3,0.9773,10.151418239722062,0
5275,1044,2,0.9578,12.679827485380118,0
10983,8,1,-0.9901,11.327261360758973,0
2059,26,1,-0.9684,8.308208291708292,0
1005,19,4,-0.9771,8.374993023255815,0
2336,5,0,-0.9935,8.941016178343949,0
252,60,1,0.3802,,0
12486,112,2,0.89,9.155875536308868,0
7549,33,1,0.9944,11.15761862203819,0
10352,83,6,-0.9933,10.653949192314869,0
5750,15,4,0.9451,11.07393026070203,0
2500,49,2,-0.9234,9.940296547532215,0
1789,6,2,0.9531,11.490415971223022,0
1678,111,2,0.9922,9.774334610917538,0
4969,7,0,0.9696,9.464044483799029,0
1963,7,1,-0.9721,10.280634266501991,0
1112,173,1,0.0,10.565861741122568,0
1286,130,1,0.9799,10.228310317460318,0
397,46,0,-0.6249,,0
2088,17,0,-0.464,11.496089130434783,0
1863,6,1,-0.6535,10.19033054263566,0
6545,30,6,-0.975,10.622089857761287,0
2139,39,4,0.9492,9.474184424258617,0
397,31,0,-0.6249,,0
10614,22,7,-0.9992,9.907618808489728,0
1329,399,1,0.8801,8.923666229508196,0
1744,73,4,-0.7269,11.311193827160494,0
1013,10,2,0.9854,10.299207317073172,0
2394,98,2,0.9378,9.908779320511021,0
2169,10,1,-0.9787,10.478410327706058,0
1511,28,1,0.9945,10.006605664877757,0
3140,24,2,0.7506,12.55768564102564,0
3496,249,1,0.9836,10.10069298245614,0
1994,16,2,-0.9896,12.730669105691057,0
1600,81,2,-0.9338,9.580273048848962,0
1455,211,1,-0.6808,9.719758241758242,0
2838,53,2,0.7003,11.630745548356133,0
3429,14,1,0.3609,10.32658427398086,0
1588,340,1,0.8176,12.012444704570791,0
2864,27,1,-0.9942,11.668239848484848,0
3345,12,0,-0.9959,11.654991848405544,0
2183,114,4,-0.998,11.980097963462114,0
5314,10,4,0.9859,10.781378926598265,0
1214,80,2,-0.9908,10.935370707070707,0
4649,129,4,0.9292,10.62166983016983,0
252,5,1,0.3802,,0
688,207,2,0.34,11.692818596491227,0
5868,62,6,0.9959,10.67527738154752,0
4204,257,4,0.9974,9.214568681177978,0
1672,53,1,0.9691,10.574389724310777,0
1031,5,1,-0.3182,11.57962380952381,0
8193,48,4,0.9929,11.341423352902806,0
1916,9,0,-0.9887,10.020209803921567,0
3217,67,0,0.9346,9.827866519499633,0
1681,21,2,0.8519,11.041022033898306,0
5558,19,3,-0.9963,9.719778396303749,0
2138,15,1,-0.9952,9.000103647416413,0
1121,56,3,-0.5719,11.334214285714285,0
2700,201,1,0.9926,11.812700442967886,0
4204,257,4,0.9974,9.214568681177978,0
2875,5,0,0.6177,8.992642784892734,0
8939,32,0,0.9937,11.932921713494668,0
32537,34,9,-0.9852,10.689455086963006,0
1771,26,1,-0.9751,9.455413048433048,0
6359,347,2,-0.9703,9.787728333333334,0
8837,31,2,0.9958,10.276751897351897,0
2389,5,1,0.9851,8.478107542334097,0
12486,66,2,0.89,9.155875536308868,0
1371,58,1,0.9443,9.273224050632912,0
1738,119,1,-0.8807,12.168058134920635,0
