length,shares,num_authors,sentiment-score,is-fake
6833,55,1,0.9597,1
3587,1,1,0.8418,1
2633,17,1,-0.992,1
2445,493,1,-0.9715,1
3707,2,1,-0.9984,1
125,75,1,0.296,1
1481,29,1,-0.8678,1
4454,131,1,0.1615,1
3528,18,1,0.8593,1
3009,65,1,0.9041,1
3213,23,1,0.9855,1
144,7,1,0.4404,1
1331,139,1,0.9447,1
1055,40,1,0.4215,1
5663,312,1,-0.9967,1
1714,220,2,-0.5848,1
1780,139,1,-0.9545,1
606,251,1,-0.9678,1
214,5,1,-0.9552,1
1630,569,1,0.9652,1
803,235,4,-0.8074,1
2000,12,1,0.743,1
3735,1,1,-0.9955,1
56,22,1,0.0,1
1695,49,1,-0.9917,1
1356,69,2,0.3182,1
1138,79,1,0.9786,1
2998,57,1,0.9884,1
8,1573,1,0.0,1
21658,47,10,0.8624,1
4882,13,1,-0.9988,0
4095,262,4,-0.9961,0
3074,11,1,0.9975,0
8328,20,3,0.9988,0
3144,273,4,-0.9903,0
3021,9,1,-0.9881,0
10078,83,8,0.9962,0
3016,147,2,-0.9938,0
1133,188,1,0.9001,0
9950,148,5,0.8279,0
9865,41,2,0.9978,0
1678,64,2,-0.9853,0
1480,20,3,0.9762,0
795,94,3,-0.6249,0
2729,30,3,-0.9421,0
1504,284,1,0.9744,0
1548,3,1,-0.6808,0
5290,13,2,-0.9819,0
3672,10,1,-0.9983,0
1397,24,2,0.9558,0
2844,14,1,0.2837,0
4442,46,4,-0.9947,0
1647,59,2,0.7096,0
1647,44,2,0.9623,0
2447,59,2,0.8416,0
19986,1228,6,-0.9995,0
3107,12,1,0.5246,0
1038,90,1,0.6486,0
2281,14,0,0.9239,0
2368,8,1,0.6996,0
2714,19,2,-0.9409,0
1073,33,2,-0.9155,0
2228,4,2,0.9633,0
397,10,0,-0.6249,0
1104,12,1,0.0,0
2175,119,2,-0.8914,0
1580,735,1,0.9867,0
2961,37,0,0.786,0
252,112,1,0.3802,0
872,1396,1,0.6486,0
950,315,1,0.3182,0
1904,2,1,0.8296,0
3568,49,2,0.7845,0
1560,13,2,0.0926,0
1793,100,2,-0.9176,0
6894,71,1,0.9196,0
1499,68,1,-0.9861,0
11608,37,1,0.9871,0
2068,11,1,-0.9913,0
4369,13,2,0.9526,0
3217,50,2,0.938,0
2945,306,0,-0.9349,0
1191,232,2,0.6908,0
2870,66,1,-0.989,0
1190,16,2,-0.9423,0
2174,521,2,-0.8144,0
2159,12,1,-0.4404,0
2016,17,1,0.8443,0
2461,19,2,0.9484,0
2027,1,1,-0.9895,0
1179,356,1,0.9442,0
2700,19,1,-0.9814,0
1457,221,1,-0.9898,0
3391,13,2,-0.9777,0
4420,80,2,0.9685,0
3282,9,1,-0.9528,0
1566,87,2,0.9326,0
1734,21,2,-0.9977,0
5533,64,1,0.296,0
1097,734,2,0.8363,0
1210,234,1,0.8555,0
2956,7,1,0.9754,0
1340,30,1,0.5536,0
2377,20,0,0.8265,0
3536,98,2,0.93,0
12613,90,1,0.9946,0
3111,20,0,-0.315,0
6555,18,1,0.9983,0
4808,253,1,0.9715,0
1695,52,2,0.9287,0
3839,108,10,-0.959,0
5797,55,4,-0.9974,0
2726,32,3,-0.872,0
1812,49,2,0.9881,0
1369,72,1,-0.291,0
31909,823,2,0.9996,0
1417,3,1,-0.765,0
6706,289,4,0.9518,0
1013,95,1,0.7906,0
1489,19,0,0.9746,0
13001,627,7,0.977,0
1447,36,4,-0.9801,0
2376,26,0,-0.7176,0
1342,64,2,-0.9738,0
2076,5,1,0.9932,0
13314,36,2,-0.8457,0
30459,5,4,0.9993,0
3083,1,2,-0.9742,0
1658,13,2,0.9877,0
1898,99,2,-0.9686,0
5942,34,3,0.9981,0
1781,157,2,-0.1665,0
1259,5,1,0.9866,0
1725,37,3,0.9744,0
12339,57,2,-0.9943,0
2078,7,1,-0.9825,0
2635,14,1,-0.9445,0
5687,133,3,-0.3439,0
12777,60,2,0.9997,0
4268,29,2,-0.9617,0
2734,56,4,-0.9723,0
2497,3,1,-0.9858,0
2548,16,3,-0.9648,0
4553,25,1,-0.9989,0
2316,46,2,-0.8974,0
2869,5,0,-0.9974,0
1648,68,1,0.9286,0
2292,33,3,-0.802,0
3200,171,4,-0.9666,0
1997,29,3,-0.9237,0
6663,203,7,-0.9443,0
1636,41,2,0.9231,0
4950,46,2,-0.9958,0
3153,47,4,-0.9872,0
2012,11,1,0.9559,0
2779,56,2,0.9684,0
1067,1,2,-0.9563,0
2376,19,1,0.9922,0
1909,13,0,-0.9186,0
2185,13,1,-0.9552,0
8837,93,2,0.9958,0
397,5,0,-0.6249,0
2309,28,2,-0.765,0
2332,37,3,-0.9949,0
1214,32,0,-0.8885,0
3031,55,2,-0.9047,0
1684,69,3,-0.9349,0
2994,12,1,-0.9943,0
3521,16,2,-0.9893,0
2026,171,2,0.8802,0
1925,5,1,0.807,0
9212,73,3,0.9773,0
5275,1044,2,0.9578,0
10983,8,1,-0.9901,0
2059,26,1,-0.9684,0
1005,19,4,-0.9771,0
2336,5,0,-0.9935,0
252,60,1,0.3802,0
12486,112,2,0.89,0
7549,33,1,0.9944,0
10352,83,6,-0.9933,0
5750,15,4,0.9451,0
2500,49,2,-0.9234,0
1789,6,2,0.9531,0
1678,111,2,0.9922,0
4969,7,0,0.9696,0
1963,7,1,-0.9721,0
1112,173,1,0.0,0
1286,130,1,0.9799,0
397,46,0,-0.6249,0
2088,17,0,-0.464,0
1863,6,1,-0.6535,0
6545,30,6,-0.975,0
2139,39,4,0.9492,0
397,31,0,-0.6249,0
10614,22,7,-0.9992,0
1329,399,1,0.8801,0
1744,73,4,-0.7269,0
1013,10,2,0.9854,0
2394,98,2,0.9378,0
2169,10,1,-0.9787,0
1511,28,1,0.9945,0
3140,24,2,0.7506,0
3496,249,1,0.9836,0
1994,16,2,-0.9896,0
1600,81,2,-0.9338,0
1455,211,1,-0.6808,0
2838,53,2,0.7003,0
3429,14,1,0.3609,0
1588,340,1,0.8176,0
2864,27,1,-0.9942,0
3345,12,0,-0.9959,0
2183,114,4,-0.998,0
5314,10,4,0.9859,0
1214,80,2,-0.9908,0
4649,129,4,0.9292,0
252,5,1,0.3802,0
688,207,2,0.34,0
5868,62,6,0.9959,0
4204,257,4,0.9974,0
1672,53,1,0.9691,0
1031,5,1,-0.3182,0
8193,48,4,0.9929,0
1916,9,0,-0.9887,0
3217,67,0,0.9346,0
1681,21,2,0.8519,0
5558,19,3,-0.9963,0
2138,15,1,-0.9952,0
1121,56,3,-0.5719,0
2700,201,1,0.9926,0
4204,257,4,0.9974,0
2875,5,0,0.6177,0
8939,32,0,0.9937,0
32537,34,9,-0.9852,0
1771,26,1,-0.9751,0
6359,347,2,-0.9703,0
8837,31,2,0.9958,0
2389,5,1,0.9851,0
12486,66,2,0.89,0
1371,58,1,0.9443,0
1738,119,1,-0.8807,0
